"logmicrobid","logid","logLoc","rep_code","sampleName"
190,174,"t",NA,"R2t"
192,174,"b",NA,"R2b"
298,269,"t","z","R3t"
300,269,"b","z","R3b"
299,270,"t",NA,"R3t"
301,270,"b",NA,"R3b"
410,365,"t","z","R4t"
412,365,"b","z","R4b"
411,366,"t",NA,"R4t"
413,366,"b",NA,"R4b"
520,461,"t","z","R5t"
522,461,"b","z","R5b"
521,462,"t",NA,"R5t"
523,462,"b",NA,"R5b"
630,557,"t","z","R6t"
632,557,"b","z","R6b"
631,558,"t",NA,"R6t"
633,558,"b",NA,"R6b"
739,653,"t","z","R7t"
741,653,"b","z","R7b"
740,654,"t",NA,"R7t"
742,654,"b",NA,"R7b"
849,749,"t","z","R8t"
851,749,"b","z","R8b"
850,750,"t",NA,"R8t"
852,750,"b",NA,"R8b"
82,80,"t","z","S1t"
84,80,"b","z","S1b"
83,81,"t",NA,"S1t"
85,81,"b",NA,"S1b"
193,176,"t","z","S2t"
195,176,"b","z","S2b"
194,177,"t",NA,"S2t"
196,177,"b",NA,"S2b"
302,272,"t","z","S3t"
304,272,"b","z","S3b"
303,273,"t",NA,"S3t"
305,273,"b",NA,"S3b"
414,368,"t","z","S4t"
415,368,"b","z","S4b"
416,369,"mush",NA,"S4_"
524,464,"t","z","S5t"
525,464,"b","z","S5b"
526,465,"mush",NA,"S5_"
634,560,"t","z","S6t"
636,560,"b","z","S6b"
635,561,"t",NA,"S6t"
637,561,"b",NA,"S6b"
743,656,"t","z","S7t"
745,656,"b","z","S7b"
744,657,"t",NA,"S7t"
746,657,"b",NA,"S7b"
853,752,"t","z","S8t"
854,752,"b","z","S8b"
855,753,"mush",NA,"S8_"
87,83,"t",NA,"T1t-bag"
90,83,"b",NA,"T1b-bag"
86,82,"t","z","T1t"
89,82,"b","z","T1b"
88,84,"t",NA,"T1t"
91,84,"b",NA,"T1b"
198,179,"t",NA,"T2t-bag"
201,179,"b",NA,"T2b-bag"
197,178,"t","z","T2t"
200,178,"b","z","T2b"
199,180,"t",NA,"T2t"
202,180,"b",NA,"T2b"
307,275,"t",NA,"T3t-bag"
310,275,"b",NA,"T3b-bag"
306,274,"t","z","T3t"
309,274,"b","z","T3b"
308,276,"t",NA,"T3t"
311,276,"b",NA,"T3b"
418,371,"t",NA,"T4t-bag"
421,371,"b",NA,"T4b-bag"
417,370,"t","z","T4t"
420,370,"b","z","T4b"
419,372,"t",NA,"T4t"
422,372,"b",NA,"T4b"
528,467,"t",NA,"T5t-bag"
531,467,"b",NA,"T5b-bag"
527,466,"t","z","T5t"
530,466,"b","z","T5b"
529,468,"t",NA,"T5t"
532,468,"b",NA,"T5b"
639,563,"t",NA,"T6t-bag"
642,563,"b",NA,"T6b-bag"
638,562,"t","z","T6t"
641,562,"b","z","T6b"
640,564,"t",NA,"T6t"
643,564,"b",NA,"T6b"
748,659,"t",NA,"T7t-bag"
751,659,"b",NA,"T7b-bag"
747,658,"t","z","T7t"
750,658,"b","z","T7b"
749,660,"t",NA,"T7t"
752,660,"b",NA,"T7b"
857,755,"t",NA,"T8t-bag"
860,755,"b",NA,"T8b-bag"
856,754,"t","z","T8t"
859,754,"b","z","T8b"
858,756,"t",NA,"T8t"
861,756,"b",NA,"T8b"
92,86,"t","z","U1t"
94,86,"b","z","U1b"
93,87,"t",NA,"U1t"
95,87,"b",NA,"U1b"
203,182,"t","z","U2t"
205,182,"b","z","U2b"
204,183,"t",NA,"U2t"
206,183,"b",NA,"U2b"
312,278,"t","z","U3t"
314,278,"b","z","U3b"
313,279,"t",NA,"U3t"
315,279,"b",NA,"U3b"
423,374,"t","z","U4t"
425,374,"b","z","U4b"
424,375,"t",NA,"U4t"
426,375,"b",NA,"U4b"
533,470,"t","z","U5t"
535,470,"b","z","U5b"
534,471,"t",NA,"U5t"
536,471,"b",NA,"U5b"
644,566,"t","z","U6t"
646,566,"b","z","U6b"
645,567,"t",NA,"U6t"
647,567,"b",NA,"U6b"
753,662,"t","z","U7t"
755,662,"b","z","U7b"
754,663,"t",NA,"U7t"
756,663,"b",NA,"U7b"
862,758,"t","z","U8t"
863,758,"b","z","U8b"
864,759,"mush",NA,"U8_"
97,89,"t",NA,"V1t-bag"
100,89,"b",NA,"V1b-bag"
96,88,"t","z","V1t"
99,88,"b","z","V1b"
98,90,"t",NA,"V1t"
