"OTUid"	"percConfid"	"genusSpecies"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"OTU_1147"	1	"Taibaiella"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Taibaiella"	"unidentified"
"OTU_1148"	0.24	"unidentified"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"unidentified"	"unidentified"
"OTU_1149"	0.65	"Hyphomicrobium"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"unidentified"
"OTU_115"	0.98	"Sphingomonas"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"unidentified"
"OTU_1150"	1	"Armatimonas/Armatimonadetes_gp1"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadales"	"Armatimonadaceae"	"Armatimonas/Armatimonadetes_gp1"	"unidentified"
"OTU_1151"	0.75	"Gryllotalpicola"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Gryllotalpicola"	"unidentified"
"OTU_1152"	0.01	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1153"	0.45	"unidentified"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	"unidentified"	"unidentified"
"OTU_1154"	0.09	"unidentified"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"unidentified"	"unidentified"
"OTU_1155"	1	"Bdellovibrio"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"	"unidentified"
"OTU_1156"	1	"Vampirovibrio"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Vampirovibrio"	"unidentified"
"OTU_1157"	0.55	"Tepidisphaera"	"Bacteria"	"Planctomycetes"	"Phycisphaerae"	"Tepidisphaerales"	"Tepidisphaeraceae"	"Tepidisphaera"	"unidentified"
"OTU_1158"	1	"Mucilaginibacter"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"unidentified"
"OTU_1159"	0.1	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_116"	0.69	"Rhodopila"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Rhodopila"	"unidentified"
"OTU_1160"	0.96	"Phycisphaera"	"Bacteria"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Phycisphaera"	"unidentified"
"OTU_1161"	1	"Armatimonas/Armatimonadetes_gp1"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadales"	"Armatimonadaceae"	"Armatimonas/Armatimonadetes_gp1"	"unidentified"
"OTU_1162"	0.29	"unidentified"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"unidentified"	"unidentified"
"OTU_1163"	0.54	"Cellulomonas"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Cellulomonadaceae"	"Cellulomonas"	"unidentified"
"OTU_1164"	0.99	"Roseomonas"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"unidentified"
"OTU_1165"	0.76	"Amnibacterium"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Amnibacterium"	"unidentified"
"OTU_1166"	1	"Hydrogenophaga"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"unidentified"
"OTU_1167"	0.21	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unidentified"	"unidentified"	"unidentified"
"OTU_1168"	1	"Saccharibacteria_genera_incertae_sedis"	"Bacteria"	"Candidatus Saccharibacteria"	"Saccharibacteria_genera_incertae_sedis"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1169"	1	"Streptacidiphilus"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptacidiphilus"	"unidentified"
"OTU_117"	1	"Mycobacterium"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"	"unidentified"
"OTU_1170"	0.94	"Subtercola"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Subtercola"	"unidentified"
"OTU_1171"	1	"Acidocella"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acidocella"	"unidentified"
"OTU_1172"	1	"Cellulomonas"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Cellulomonadaceae"	"Cellulomonas"	"unidentified"
"OTU_1173"	0.99	"WPS-1_genera_incertae_sedis"	"Bacteria"	"candidate division WPS-1"	"WPS-1_genera_incertae_sedis"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1174"	0.73	"Bordetella"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Bordetella"	"unidentified"
"OTU_1175"	0.28	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1176"	0.95	"Chryseolinea"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Chryseolinea"	"unidentified"	"unidentified"
"OTU_1177"	0.15	"unidentified"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"unidentified"	"unidentified"
"OTU_1178"	0.91	"Parabacteroides"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"unidentified"
"OTU_1179"	0.95	"Arenimonas"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Arenimonas"	"unidentified"
"OTU_118"	0.73	"Rhizomicrobium"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria_incertae_sedis"	"Rhizomicrobium"	"unidentified"	"unidentified"
"OTU_1180"	1	"Armatimonas/Armatimonadetes_gp1"	"Bacteria"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadales"	"Armatimonadaceae"	"Armatimonas/Armatimonadetes_gp1"	"unidentified"
"OTU_1181"	0.33	"unidentified"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1182"	0.64	"Cryptosporangium"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Cryptosporangiaceae"	"Cryptosporangium"	"unidentified"
"OTU_1183"	1	"Vampirovibrio"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Vampirovibrio"	"unidentified"
"OTU_1184"	0.98	"Alkalibaculum"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Alkalibaculum"	"unidentified"
"OTU_1185"	0.09	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1186"	0.14	"unidentified"	"Bacteria"	"Proteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1187"	0.29	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unidentified"	"unidentified"	"unidentified"
"OTU_1188"	0.14	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1189"	0.92	"Gp3"	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp3"	"Gp3"	"unidentified"	"unidentified"	"unidentified"
"OTU_119"	1	"Mucilaginibacter"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"unidentified"
"OTU_1190"	0.99	"Sphingomonas"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"unidentified"
"OTU_1191"	1	"Mucilaginibacter"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"unidentified"
"OTU_1192"	0.65	"Gimesia"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"unidentified"
"OTU_1193"	0.93	"Ohtaekwangia"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Ohtaekwangia"	"unidentified"	"unidentified"
"OTU_1194"	0.09	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1195"	0.82	"Rhodocytophaga"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Rhodocytophaga"	"unidentified"
"OTU_1196"	0.13	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1197"	0.74	"Chlorophyta"	"Bacteria"	"Cyanobacteria/Chloroplast"	"Chloroplast"	"Chloroplast"	"Chloroplast"	"Chlorophyta"	"unidentified"
"OTU_1198"	0.09	"unidentified"	"Bacteria"	"Proteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1199"	1	"Chitinophaga"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophaga"	"unidentified"
"OTU_12"	0.95	"Brevundimonas"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"unidentified"
"OTU_120"	0.91	"Rhizobium"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	"unidentified"
"OTU_1200"	0.42	"unidentified"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_incertae_sedis"	"unidentified"	"unidentified"	"unidentified"
"OTU_1201"	0.55	"Terrimicrobium"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Terrimicrobium"	"unidentified"	"unidentified"	"unidentified"
"OTU_1202"	0.85	"Roseiarcus"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Roseiarcaceae"	"Roseiarcus"	"unidentified"
"OTU_1203"	0.99	"Gp3"	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp3"	"Gp3"	"unidentified"	"unidentified"	"unidentified"
"OTU_1204"	0.08	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1205"	1	"Rubellimicrobium"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rubellimicrobium"	"unidentified"
"OTU_1206"	0.99	"Filimonas"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Filimonas"	"unidentified"
"OTU_1207"	0.2	"unidentified"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1208"	0.8	"Litorilinea"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineales"	"Caldilineaceae"	"Litorilinea"	"unidentified"
"OTU_1209"	1	"Gp7"	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp7"	"Gp7"	"unidentified"	"unidentified"	"unidentified"
"OTU_121"	0.97	"Williamsia"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Williamsia"	"unidentified"
"OTU_1210"	0.95	"Chryseolinea"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Chryseolinea"	"unidentified"	"unidentified"
"OTU_1211"	0.35	"unidentified"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"unidentified"	"unidentified"
